INDEXES,Price,Day,PERCENT,Weekly,Monthly,YTD,YoY,Date,region,CREATED_AT
US500,6389.45,49.45,0.78%,2.43%,2.01%,8.63%,19.56%,Aug/08,Major,2025-08-10
US30,44176.0,207.0,0.47%,1.35%,-0.64%,3.83%,11.84%,Aug/08,Major,2025-08-10
US100,23611.0,222.0,0.95%,3.73%,3.26%,12.37%,27.54%,Aug/08,Major,2025-08-10
JP225,41820.0,761.0,1.85%,2.50%,5.02%,4.83%,19.40%,Aug/08,Major,2025-08-10
GB100,9096.0,5.0,-0.06%,0.30%,2.58%,11.29%,11.36%,Aug/08,Major,2025-08-10
DE40,24163.0,30.0,-0.12%,3.15%,-1.58%,21.37%,36.34%,Aug/08,Major,2025-08-10
FR40,7743.0,34.0,0.44%,2.61%,-1.72%,4.91%,6.51%,Aug/08,Major,2025-08-10
IT40,41624.0,231.0,0.56%,4.21%,1.97%,21.76%,30.97%,Aug/08,Major,2025-08-10
ES35,14825.0,134.0,0.91%,4.94%,4.00%,27.86%,39.35%,Aug/08,Major,2025-08-10
ASX200,8807.0,24.0,-0.27%,1.67%,3.14%,7.94%,13.24%,Aug/08,Major,2025-08-10
SHANGHAI,3635.0,5.0,-0.12%,2.11%,4.07%,8.45%,27.00%,Aug/08,Major,2025-08-10
SENSEX,79858.0,765.0,-0.95%,-0.92%,-4.40%,2.20%,0.19%,Aug/08,Major,2025-08-10
TSX,27759.0,3.0,-0.01%,2.73%,2.92%,12.26%,24.42%,Aug/08,Major,2025-08-10
MOEX,2925.0,0.0,0.00%,7.21%,8.46%,1.44%,2.76%,Aug/08,Major,2025-08-10
IBOVESPA,135913.0,615.0,-0.45%,2.62%,-1.14%,12.99%,4.06%,Aug/08,Major,2025-08-10
IPC,58070.0,191.0,-0.33%,2.06%,2.44%,17.20%,9.46%,Aug/08,Major,2025-08-10
NL25,891.0,1.0,-0.13%,0.73%,-2.98%,1.45%,0.90%,Aug/08,Major,2025-08-10
CH20,11867.0,17.0,0.15%,0.41%,-1.17%,2.29%,0.01%,Aug/08,Major,2025-08-10
SAALL,100855.0,212.0,0.21%,3.18%,3.73%,19.93%,25.19%,Aug/08,Major,2025-08-10
STI,4240.0,18.0,-0.43%,2.07%,4.49%,11.94%,31.05%,Aug/08,Major,2025-08-10
HK50,24859.0,223.0,-0.89%,1.43%,4.05%,23.92%,45.46%,Aug/08,Major,2025-08-10
NZX 50,12845.0,42.0,-0.33%,0.91%,0.60%,-2.03%,4.91%,Aug/08,Major,2025-08-10
EU50,5342.0,10.0,0.19%,3.42%,-1.90%,9.12%,14.27%,Aug/08,Major,2025-08-10
GB100,9096.0,5.0,-0.06%,0.30%,2.58%,11.29%,11.36%,Aug/08,Europe,2025-08-10
DE40,24163.0,30.0,-0.12%,3.15%,-1.58%,21.37%,36.34%,Aug/08,Europe,2025-08-10
FR40,7743.0,34.0,0.44%,2.61%,-1.72%,4.91%,6.51%,Aug/08,Europe,2025-08-10
IT40,41624.0,231.0,0.56%,4.21%,1.97%,21.76%,30.97%,Aug/08,Europe,2025-08-10
ES35,14825.0,134.0,0.91%,4.94%,4.00%,27.86%,39.35%,Aug/08,Europe,2025-08-10
MOEX,2925.0,0.0,0.00%,7.21%,8.46%,1.44%,2.76%,Aug/08,Europe,2025-08-10
NL25,891.0,1.0,-0.13%,0.73%,-2.98%,1.45%,0.90%,Aug/08,Europe,2025-08-10
BIST 100,10973.0,17.0,0.15%,2.10%,7.92%,11.62%,10.75%,Aug/08,Europe,2025-08-10
CH20,11867.0,17.0,0.15%,0.41%,-1.17%,2.29%,0.01%,Aug/08,Europe,2025-08-10
Stockholm,2603.0,9.0,0.36%,2.74%,2.62%,4.83%,5.87%,Aug/08,Europe,2025-08-10
WIG,110917.0,871.0,0.79%,4.95%,4.29%,39.38%,39.34%,Aug/08,Europe,2025-08-10
BE20,4734.0,23.0,0.48%,3.69%,5.06%,11.01%,16.61%,Aug/08,Europe,2025-08-10
Oslo,1872.0,1.0,0.03%,0.83%,0.11%,13.83%,14.39%,Aug/08,Europe,2025-08-10
ATX,4721.0,65.0,1.39%,5.92%,5.05%,28.88%,32.55%,Aug/08,Europe,2025-08-10
Copenhagen,1517.0,24.0,1.63%,2.96%,-13.95%,-27.85%,-44.36%,Aug/08,Europe,2025-08-10
Helsinki,10800.0,48.0,0.45%,2.29%,1.15%,13.99%,10.90%,Aug/08,Europe,2025-08-10
Helsinki 25,4910.0,17.0,0.36%,2.42%,1.63%,13.77%,11.14%,Aug/08,Europe,2025-08-10
ISEQ,11483.0,17.0,0.14%,3.47%,0.02%,17.68%,22.30%,Aug/08,Europe,2025-08-10
Athens General,2070.0,3.0,0.13%,5.62%,5.51%,40.86%,49.65%,Aug/08,Europe,2025-08-10
PSI Geral,5077.0,14.0,0.27%,1.75%,-0.37%,22.46%,12.70%,Aug/08,Europe,2025-08-10
PSI 20,7780.0,18.0,0.23%,2.01%,-0.15%,22.00%,18.77%,Aug/08,Europe,2025-08-10
PX,2285.0,2.0,-0.09%,3.15%,5.40%,29.83%,46.98%,Aug/08,Europe,2025-08-10
BET,20877.0,62.0,0.30%,3.68%,11.32%,24.86%,17.17%,Aug/08,Europe,2025-08-10
BUX,104286.0,1013.0,0.98%,3.75%,4.23%,31.46%,44.78%,Aug/08,Europe,2025-08-10
PFTS,463.0,0.0,0.00%,-0.21%,-6.01%,-7.87%,-8.65%,Aug/08,Europe,2025-08-10
SAX,278.0,1.0,-0.41%,-7.26%,-7.26%,-5.94%,-9.85%,Aug/08,Europe,2025-08-10
LuxX,1598.0,14.0,0.89%,2.36%,-2.19%,22.54%,19.71%,Aug/08,Europe,2025-08-10
CROBEX,3733.0,4.0,-0.12%,-0.09%,4.32%,16.98%,27.56%,Aug/08,Europe,2025-08-10
SOFIX,1050.0,6.0,0.55%,0.91%,1.72%,17.59%,22.81%,Aug/08,Europe,2025-08-10
SBITOP,2433.0,15.0,-0.62%,1.14%,4.63%,45.70%,52.35%,Aug/08,Europe,2025-08-10
Vilnius,1209.0,4.0,0.31%,0.43%,0.34%,13.43%,23.25%,Aug/08,Europe,2025-08-10
BELEX 15,1220.0,0.0,-0.03%,0.10%,1.56%,6.38%,19.42%,Aug/08,Europe,2025-08-10
EU600,547.08,1.03,0.19%,2.11%,-0.52%,7.77%,9.59%,Aug/08,Europe,2025-08-10
EU100,1580.0,5.0,0.31%,2.49%,-1.30%,8.67%,10.18%,Aug/08,Europe,2025-08-10
EU50,5342.0,10.0,0.19%,3.42%,-1.90%,9.12%,14.27%,Aug/08,Europe,2025-08-10
EU350,2210.78,3.55,0.16%,2.08%,-0.69%,7.23%,9.01%,Aug/08,Europe,2025-08-10
SASX-10,1464.0,6.0,0.41%,3.86%,5.81%,18.89%,32.78%,Aug/08,Europe,2025-08-10
CSE General,284.0,3.0,0.99%,6.64%,10.59%,32.08%,74.15%,Aug/08,Europe,2025-08-10
Tallinn,2038.0,5.0,0.24%,-0.16%,-0.68%,17.61%,17.48%,Aug/08,Europe,2025-08-10
Riga,915.0,1.0,-0.13%,0.73%,2.42%,5.22%,5.56%,Aug/08,Europe,2025-08-10
ICEX,2097.0,9.0,0.45%,-0.27%,0.19%,-12.22%,5.60%,Aug/08,Europe,2025-08-10
MBI 10,10518.0,25.0,0.24%,0.57%,1.14%,3.11%,24.76%,Aug/08,Europe,2025-08-10
MSE,3902.0,23.0,0.59%,1.91%,3.35%,3.58%,1.88%,Aug/07,Europe,2025-08-10
Monex,17538.44,90.05,0.52%,-0.83%,0.19%,6.72%,16.62%,Aug/08,Europe,2025-08-10
DE Mid,31493.41,161.94,0.52%,3.88%,-0.14%,23.07%,29.87%,Aug/08,Europe,2025-08-10
DE Small,17394.92,101.54,0.59%,2.02%,-3.46%,26.87%,27.67%,Aug/08,Europe,2025-08-10
Euro Stoxx Banks,228.97,4.24,1.89%,7.86%,8.37%,56.79%,72.10%,Aug/08,Europe,2025-08-10
US500,6389.45,49.45,0.78%,2.43%,2.01%,8.63%,19.56%,Aug/08,America,2025-08-10
US30,44176.0,207.0,0.47%,1.35%,-0.64%,3.83%,11.84%,Aug/08,America,2025-08-10
US100,23611.0,222.0,0.95%,3.73%,3.26%,12.37%,27.54%,Aug/08,America,2025-08-10
Ecuador General,1288.0,1.0,0.07%,0.46%,-0.18%,9.21%,14.18%,Aug/06,America,2025-08-10
TSX,27759.0,3.0,-0.01%,2.73%,2.92%,12.26%,24.42%,Aug/08,America,2025-08-10
IBOVESPA,135913.0,615.0,-0.45%,2.62%,-1.14%,12.99%,4.06%,Aug/08,America,2025-08-10
IPC,58070.0,191.0,-0.33%,2.06%,2.44%,17.20%,9.46%,Aug/08,America,2025-08-10
Peru General,34012.0,10.0,0.03%,2.47%,3.86%,17.44%,18.78%,Aug/08,America,2025-08-10
Merval,2300926.0,48095.0,-2.05%,0.97%,11.22%,-9.18%,45.27%,Aug/08,America,2025-08-10
IBC,611.0,53.0,9.41%,14.69%,55.87%,412.19%,567.18%,Aug/08,America,2025-08-10
COLCAP,1803.0,28.0,1.59%,2.92%,7.62%,30.68%,37.58%,Aug/08,America,2025-08-10
IGPA,42730.0,778.0,1.85%,4.25%,2.19%,26.86%,33.93%,Aug/08,America,2025-08-10
BVPSI,502.0,5.0,0.96%,1.29%,2.04%,7.58%,13.61%,Aug/08,America,2025-08-10
BSX,2979.0,0.0,0.00%,3.12%,5.96%,19.23%,23.32%,Aug/08,America,2025-08-10
JSE,308375.0,1562.0,0.51%,0.37%,0.49%,-8.17%,-0.51%,Aug/08,America,2025-08-10
US1000,3491.96,23.59,0.68%,2.34%,1.82%,8.41%,19.78%,Aug/08,America,2025-08-10
JP225,41820.0,761.0,1.85%,2.50%,5.02%,4.83%,19.40%,Aug/08,Asia,2025-08-10
